Times for single-best. Start time is:
Tue Jun 16 02:02:31 KST 2020
Query times:
Tue Jun 16 02:05:42 KST 2020
Tue Jun 16 02:06:32 KST 2020
Tue Jun 16 02:07:49 KST 2020
Tue Jun 16 02:10:16 KST 2020
Tue Jun 16 02:11:05 KST 2020
Tue Jun 16 02:13:29 KST 2020
Tue Jun 16 02:15:17 KST 2020
Tue Jun 16 02:16:32 KST 2020
Tue Jun 16 02:18:19 KST 2020
Tue Jun 16 02:19:07 KST 2020
Take times:
Tue Jun 16 02:20:10 KST 2020
Tue Jun 16 02:20:41 KST 2020
Tue Jun 16 02:21:06 KST 2020
Tue Jun 16 02:23:29 KST 2020
Tue Jun 16 02:24:17 KST 2020
Tue Jun 16 02:26:40 KST 2020
Tue Jun 16 02:27:50 KST 2020
Tue Jun 16 02:29:04 KST 2020
Tue Jun 16 02:30:49 KST 2020
Tue Jun 16 02:31:36 KST 2020
Times for single-prob. Start time is:
Tue Jun 16 02:31:36 KST 2020
Query times:
Tue Jun 16 02:35:33 KST 2020
Tue Jun 16 02:35:46 KST 2020
Tue Jun 16 02:36:32 KST 2020
Tue Jun 16 02:37:20 KST 2020
Tue Jun 16 02:40:24 KST 2020
Tue Jun 16 02:45:13 KST 2020
Tue Jun 16 02:46:01 KST 2020
Tue Jun 16 02:48:23 KST 2020
Tue Jun 16 02:57:43 KST 2020
Tue Jun 16 02:58:56 KST 2020
Take times:
Tue Jun 16 03:01:34 KST 2020
Tue Jun 16 03:01:46 KST 2020
Tue Jun 16 03:02:33 KST 2020
Tue Jun 16 03:03:19 KST 2020
Tue Jun 16 03:06:24 KST 2020
Tue Jun 16 03:11:12 KST 2020
Tue Jun 16 03:11:26 KST 2020
Tue Jun 16 03:12:13 KST 2020
Tue Jun 16 03:21:36 KST 2020
Tue Jun 16 03:22:49 KST 2020
Times for hierarchical-best. Start time is:
Tue Jun 16 03:22:49 KST 2020
Query times:
Tue Jun 16 03:25:54 KST 2020
Tue Jun 16 03:27:38 KST 2020
Tue Jun 16 03:34:34 KST 2020
Tue Jun 16 03:35:47 KST 2020
Tue Jun 16 03:37:32 KST 2020
Tue Jun 16 03:38:19 KST 2020
Tue Jun 16 03:39:06 KST 2020
Tue Jun 16 03:40:51 KST 2020
Tue Jun 16 03:43:13 KST 2020
Tue Jun 16 03:45:36 KST 2020
Take times:
Tue Jun 16 03:48:42 KST 2020
Tue Jun 16 03:49:17 KST 2020
Tue Jun 16 03:56:16 KST 2020
Tue Jun 16 03:57:30 KST 2020
Tue Jun 16 03:58:06 KST 2020
Tue Jun 16 03:58:56 KST 2020
Tue Jun 16 03:59:12 KST 2020
Tue Jun 16 04:00:22 KST 2020
Tue Jun 16 04:01:09 KST 2020
Tue Jun 16 04:03:33 KST 2020
Times for hierarchical-prob. Start time is:
Tue Jun 16 04:03:33 KST 2020
Query times:
Tue Jun 16 04:04:20 KST 2020
Tue Jun 16 04:05:08 KST 2020
Tue Jun 16 04:08:46 KST 2020
Tue Jun 16 04:10:52 KST 2020
Tue Jun 16 04:11:50 KST 2020
Tue Jun 16 04:12:50 KST 2020
Tue Jun 16 04:13:26 KST 2020
Tue Jun 16 04:16:36 KST 2020
Tue Jun 16 04:18:18 KST 2020
Tue Jun 16 04:21:53 KST 2020
Take times:
Tue Jun 16 04:21:53 KST 2020
Tue Jun 16 04:22:38 KST 2020
Tue Jun 16 04:27:34 KST 2020
Tue Jun 16 04:29:20 KST 2020
Tue Jun 16 04:30:36 KST 2020
Tue Jun 16 04:31:47 KST 2020
Tue Jun 16 04:32:31 KST 2020
Tue Jun 16 04:33:49 KST 2020
Tue Jun 16 04:35:45 KST 2020
Tue Jun 16 04:36:58 KST 2020
Times for autotuned-single-best. Start time is:
Tue Jun 16 13:41:39 KST 2020
Query times:
Tue Jun 16 13:43:22 KST 2020
Tue Jun 16 13:43:50 KST 2020
Tue Jun 16 13:43:55 KST 2020
Tue Jun 16 13:46:25 KST 2020
Tue Jun 16 13:46:25 KST 2020
Tue Jun 16 13:46:38 KST 2020
Tue Jun 16 13:50:43 KST 2020
Tue Jun 16 14:04:44 KST 2020
Tue Jun 16 14:04:57 KST 2020
Tue Jun 16 14:05:11 KST 2020
Take times:
Tue Jun 16 14:05:47 KST 2020
Tue Jun 16 14:06:05 KST 2020
Tue Jun 16 14:06:06 KST 2020
Tue Jun 16 14:08:29 KST 2020
Tue Jun 16 14:08:29 KST 2020
Tue Jun 16 14:08:42 KST 2020
Tue Jun 16 14:12:37 KST 2020
Tue Jun 16 14:26:33 KST 2020
Tue Jun 16 14:26:46 KST 2020
Tue Jun 16 14:26:58 KST 2020
Times for autotuned-single-prob. Start time is:
Tue Jun 16 14:51:41 KST 2020
Query times:
Tue Jun 16 14:53:17 KST 2020
Tue Jun 16 14:57:13 KST 2020
Tue Jun 16 14:57:13 KST 2020
Tue Jun 16 14:57:13 KST 2020
Tue Jun 16 14:57:13 KST 2020
Tue Jun 16 14:57:13 KST 2020
Tue Jun 16 14:58:58 KST 2020
Tue Jun 16 15:01:18 KST 2020
Tue Jun 16 15:03:04 KST 2020
Tue Jun 16 15:03:04 KST 2020
Take times:
Tue Jun 16 15:03:27 KST 2020
Tue Jun 16 15:07:21 KST 2020
Tue Jun 16 15:07:21 KST 2020
Tue Jun 16 15:07:21 KST 2020
Tue Jun 16 15:07:21 KST 2020
Tue Jun 16 15:07:21 KST 2020
Tue Jun 16 15:08:30 KST 2020
Tue Jun 16 15:09:31 KST 2020
Tue Jun 16 15:11:15 KST 2020
Tue Jun 16 15:11:15 KST 2020
Times for autotune-hierarchical-best. Start time is:
Tue Jun 16 15:11:44 KST 2020
Query times:
Tue Jun 16 15:14:01 KST 2020
Tue Jun 16 15:23:20 KST 2020
Tue Jun 16 15:23:47 KST 2020
Tue Jun 16 15:23:59 KST 2020
Tue Jun 16 15:27:58 KST 2020
Tue Jun 16 15:28:02 KST 2020
Tue Jun 16 15:29:15 KST 2020
Tue Jun 16 15:30:26 KST 2020
Tue Jun 16 15:30:31 KST 2020
Tue Jun 16 15:54:50 KST 2020
Take times:
Tue Jun 16 15:57:12 KST 2020
Tue Jun 16 16:06:39 KST 2020
Tue Jun 16 16:06:57 KST 2020
Tue Jun 16 16:07:05 KST 2020
Tue Jun 16 16:11:09 KST 2020
Tue Jun 16 16:11:13 KST 2020
Tue Jun 16 16:12:26 KST 2020
Tue Jun 16 16:13:38 KST 2020
Tue Jun 16 16:13:41 KST 2020
Tue Jun 16 16:38:18 KST 2020
Times for autotune-hierarchical-prob. Start time is:
Tue Jun 16 16:52:49 KST 2020
Query times:
Tue Jun 16 16:52:53 KST 2020
Tue Jun 16 16:52:53 KST 2020
Tue Jun 16 16:53:37 KST 2020
Tue Jun 16 16:54:48 KST 2020
Tue Jun 16 16:54:48 KST 2020
Tue Jun 16 16:54:48 KST 2020
Tue Jun 16 16:59:45 KST 2020
Tue Jun 16 17:00:33 KST 2020
Tue Jun 16 17:05:24 KST 2020
Tue Jun 16 17:06:08 KST 2020
Take times:
Tue Jun 16 17:06:13 KST 2020
Tue Jun 16 17:06:13 KST 2020
Tue Jun 16 17:07:38 KST 2020
Tue Jun 16 17:08:44 KST 2020
Tue Jun 16 17:08:44 KST 2020
Tue Jun 16 17:08:44 KST 2020
Tue Jun 16 17:16:56 KST 2020
Tue Jun 16 17:18:19 KST 2020
Tue Jun 16 17:26:32 KST 2020
Tue Jun 16 17:27:07 KST 2020
